"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0002181","cytoplasmic translation","10/84","161/18903",2.43765760313829e-09,4.21227233822296e-06,3.74629484271779e-06,"EIF3L/RPL12/RPL18/RPS8/RPL5/RPLP0/RPL13/RPL18A/RPS3/RPL17",10
"GO:0048732","gland development","10/84","441/18903",2.55021057416363e-05,0.0193347819581093,0.0171958952600144,"TNC/HES1/SLC9A3R1/LEF1/CCND1/ITGA2/ID4/WNT7B/EGFR/RPLP0",10
"GO:0001892","embryonic placenta development","5/84","87/18903",4.26527275402379e-05,0.0193347819581093,0.0171958952600144,"HES1/ZFP36L1/LEF1/WNT7B/EGFR",5
"GO:0030900","forebrain development","9/84","383/18903",5.05209073625364e-05,0.0193347819581093,0.0171958952600144,"HES1/LEF1/ID4/DMRTA2/WNT7B/EGFR/CCDC85C/SYNE2/DYNC2H1",9
"GO:0060711","labyrinthine layer development","4/84","47/18903",5.5945549647307e-05,0.0193347819581093,0.0171958952600144,"HES1/ZFP36L1/LEF1/WNT7B",4
"GO:0060713","labyrinthine layer morphogenesis","3/84","22/18903",0.000122643516832921,0.0302622480532124,0.0269145237315364,"ZFP36L1/LEF1/WNT7B",3
"GO:0021543","pallium development","6/84","174/18903",0.000125239003334049,0.0302622480532124,0.0269145237315364,"LEF1/ID4/DMRTA2/EGFR/CCDC85C/SYNE2",6
"GO:0021537","telencephalon development","7/84","255/18903",0.000140103000246354,0.0302622480532124,0.0269145237315364,"HES1/LEF1/ID4/DMRTA2/EGFR/CCDC85C/SYNE2",7
"GO:0060669","embryonic placenta morphogenesis","3/84","26/18903",0.000204420522821921,0.0388322835022077,0.0345365094500629,"ZFP36L1/LEF1/WNT7B",3
"GO:0007405","neuroblast proliferation","4/84","67/18903",0.000224723862859998,0.0388322835022077,0.0345365094500629,"LEF1/ID4/DMRTA2/SOX5",4
"GO:0045165","cell fate commitment","7/84","282/18903",0.00025952704473667,0.0407693393913605,0.0362592808914391,"HES1/GAS1/DMRT3/TENM4/DMRTA2/WNT7B/SOX5",7
"GO:0001701","in utero embryonic development","8/84","393/18903",0.00035741130099047,0.0498345079362664,0.0443216262103734,"HES1/ZFP36L1/LEF1/MYO1E/WNT7B/EGFR/RPL7L1/RPL13",8
"GO:0030879","mammary gland development","5/84","138/18903",0.000374912386094597,0.0498345079362664,0.0443216262103734,"LEF1/CCND1/ITGA2/WNT7B/RPLP0",5
